Session_ID,Session_Date,App_ID,App_Category,Platform,User_Type,Region,Session_Duration_Minutes,Data_Usage_MB,Engagement_Score
SESS000039,2024-05-07,App_1,Social Media,Android,Premium,Africa,75.01,30.04,92
SESS000040,2025-01-22,App_5,Productivity,Android,Premium,North America,20.08,186.89,12
SESS000041,2024-03-21,App_8,Health & Fitness,iOS,Free,North America,6.31,84.67,18
SESS000042,2024-10-27,App_11,Entertainment,iOS,Free,Africa,111.71,481.82,68
SESS000043,2025-01-05,App_12,Gaming,Android,Premium,Europe,109.51,264.8,78
SESS000044,2024-07-15,App_9,Social Media,Android,Free,Europe,4.04,2.83,77
SESS000045,2024-03-12,App_7,Social Media,Android,Premium,South America,73.48,192.68,13
SESS000046,2024-02-16,App_9,Gaming,iOS,Premium,North America,97.16,14.31,47
SESS000047,2024-08-21,App_7,Gaming,iOS,Free,North America,61.78,452.62,15
SESS000048,2024-10-23,App_14,Productivity,Android,Free,Africa,93.92,281.9,13
SESS000049,2024-03-22,App_4,Social Media,iOS,Premium,Africa,61.47,429.75,34
SESS000050,2024-08-26,App_4,Entertainment,Android,Free,Asia,70.2,477.88,99
SESS000051,2024-04-13,App_8,Social Media,iOS,Free,Asia,41.94,94.65,43
SESS000052,2025-01-24,App_6,Productivity,Android,Free,South America,26.57,310.63,41
SESS000053,2024-10-11,App_3,Entertainment,Android,Free,Europe,99.86,91.3,16
SESS000054,2025-04-09,App_5,Entertainment,iOS,Premium,Africa,4.88,109.58,24
SESS000055,2025-01-08,App_4,Entertainment,Android,Premium,Europe,87.42,172.95,74
SESS000056,2024-06-15,App_15,Productivity,Android,Premium,North America,46.35,436.11,28
SESS000057,2025-01-14,App_15,Social Media,iOS,Free,Europe,119.74,456.35,75
SESS000058,2024-12-29,App_12,Health & Fitness,iOS,Free,Europe,10.33,300.06,11
SESS000059,2024-08-02,App_13,Entertainment,Android,Premium,South America,10.2,287.21,30
SESS000060,2024-09-30,App_2,Gaming,iOS,Premium,Africa,112.33,445.77,7
SESS000061,2024-03-14,App_1,Productivity,Android,Premium,Asia,27.73,353.33,36
SESS000062,2024-06-24,App_13,Entertainment,Android,Premium,Africa,60.92,439.9,40
SESS000063,2024-09-07,App_11,Productivity,iOS,Free,Asia,69.36,89.16,98
SESS000064,2024-06-16,App_7,Gaming,iOS,Premium,Asia,66.24,74.85,71
SESS000065,2025-04-18,App_10,Entertainment,iOS,Free,South America,50.75,409.59,97
SESS000066,2025-01-23,App_13,Social Media,iOS,Premium,North America,88.23,15.66,70
SESS000067,2024-10-03,App_15,Productivity,Android,Free,South America,101.86,19.87,11
SESS000068,2024-08-12,App_15,Entertainment,Android,Premium,North America,63.8,269.03,92
SESS000069,2024-11-28,App_15,Entertainment,Android,Premium,South America,7.12,479.04,71
SESS000070,2024-02-27,App_1,Productivity,iOS,Premium,South America,57.21,470.38,74
SESS000071,2024-08-22,App_4,Gaming,iOS,Premium,Africa,63.41,403.7,89
SESS000072,2024-02-02,App_4,Productivity,Android,Premium,Africa,53.48,156.18,70
SESS000073,2024-11-19,App_2,Health & Fitness,Android,Premium,North America,33.03,146.07,39
SESS000074,2025-02-14,App_2,Social Media,Android,Free,Europe,100.49,174.85,71
SESS000075,2024-10-01,App_10,Gaming,Android,Premium,Africa,35.87,90.62,85
SESS000076,2024-03-08,App_1,Social Media,iOS,Premium,Asia,30.04,259.49,39
SESS000077,2024-08-04,App_8,Social Media,Android,Free,Europe,29.93,450.17,13
SESS000078,2024-11-18,App_10,Productivity,Android,Premium,Asia,92.35,249.08,52
SESS000079,2024-08-05,App_11,Health & Fitness,iOS,Premium,North America,44.07,301.95,97
SESS000080,2025-05-26,App_12,Entertainment,Android,Free,Africa,55.24,498.67,6
SESS000081,2025-02-09,App_14,Health & Fitness,iOS,Free,North America,90.03,460.04,40
SESS000082,2025-04-14,App_1,Gaming,Android,Premium,Europe,14.73,468.94,54
SESS000083,2024-05-26,App_4,Health & Fitness,Android,Premium,South America,29.68,464.34,12
SESS000084,2024-09-28,App_12,Social Media,iOS,Free,South America,88.2,274.22,85
SESS000085,2024-05-22,App_1,Entertainment,Android,Free,Africa,105.75,194.73,43
SESS000086,2024-09-09,App_7,Health & Fitness,iOS,Premium,Africa,44.06,224.24,35
SESS000087,2024-09-26,App_8,Entertainment,iOS,Free,North America,42.89,58.63,95
SESS000088,2025-03-14,App_4,Health & Fitness,iOS,Premium,Europe,61.17,277.45,7
SESS000089,2025-02-12,App_9,Entertainment,Android,Premium,South America,109.84,169.5,18
SESS000090,2025-01-05,App_4,Health & Fitness,iOS,Premium,Africa,78.75,183.16,9
SESS000091,2024-08-12,App_13,Gaming,iOS,Free,South America,73.02,120.11,13
SESS000092,2024-05-21,App_14,Entertainment,iOS,Premium,Africa,54.43,408.88,76
SESS000093,2025-06-05,App_13,Productivity,iOS,Premium,South America,50.84,94.58,1
SESS000094,2025-05-20,App_1,Social Media,iOS,Free,South America,68.75,202.44,14
SESS000095,2024-04-03,App_3,Entertainment,iOS,Free,Africa,99.39,179.48,62
SESS000096,2024-02-18,App_9,Social Media,Android,Premium,Asia,15.91,458.35,6
SESS000097,2024-04-22,App_5,Health & Fitness,iOS,Free,Europe,64.98,460.6,61
SESS000098,2024-06-05,App_4,Health & Fitness,Android,Premium,Europe,93.4,405.55,47
SESS000099,2024-06-12,App_14,Health & Fitness,iOS,Premium,North America,49.51,454.88,52
SESS000100,2025-03-08,App_15,Health & Fitness,Android,Free,Europe,70.59,353.96,70
SESS000101,2024-03-06,App_12,Health & Fitness,Android,Free,Africa,17.44,419.61,14
SESS000102,2025-01-29,App_10,Gaming,Android,Free,Europe,31.97,49.84,34
SESS000103,2025-01-25,App_6,Social Media,iOS,Free,Africa,35.14,260.16,21
SESS000104,2025-04-24,App_10,Entertainment,Android,Premium,North America,38.35,331.92,76
SESS000105,2024-09-14,App_10,Gaming,iOS,Premium,Africa,10.7,160.62,72
SESS000106,2024-01-12,App_13,Gaming,iOS,Free,South America,51.1,263.91,32
SESS000107,2024-04-27,App_11,Gaming,iOS,Premium,Africa,118.01,287.76,11
SESS000108,2024-09-30,App_14,Gaming,Android,Premium,Africa,69.55,266.2,43
SESS000109,2024-12-14,App_6,Gaming,Android,Premium,Asia,76.28,197.4,22
SESS000110,2024-04-24,App_4,Social Media,iOS,Premium,Asia,92.94,273.42,24
SESS000111,2024-10-27,App_5,Entertainment,iOS,Free,Europe,108.08,100.87,84
SESS000112,2025-03-21,App_15,Social Media,Android,Free,Asia,105.29,160.5,73
SESS000113,2024-06-10,App_3,Entertainment,iOS,Free,Asia,2.85,224.23,90
SESS000114,2025-04-09,App_11,Gaming,Android,Premium,Africa,15.37,99.42,14
SESS000115,2024-01-04,App_9,Gaming,iOS,Free,North America,32.34,472.15,81
SESS000116,2024-09-26,App_4,Health & Fitness,iOS,Free,Europe,66.99,213.45,3
SESS000117,2025-05-27,App_7,Productivity,Android,Premium,Europe,111.68,217.85,61
SESS000118,2024-07-01,App_5,Productivity,iOS,Free,North America,89.4,41.65,28
SESS000119,2025-06-03,App_5,Social Media,Android,Free,Africa,16.04,12.41,94
SESS000120,2024-04-18,App_1,Social Media,iOS,Premium,Europe,5.06,52.61,91
SESS000121,2024-11-01,App_9,Entertainment,Android,Premium,Asia,52.34,280.85,17
SESS000122,2025-06-03,App_10,Health & Fitness,iOS,Premium,North America,83.12,305.03,22
SESS000123,2024-07-22,App_15,Entertainment,iOS,Premium,Europe,118.8,153.3,95
SESS000124,2024-06-05,App_12,Health & Fitness,Android,Premium,Asia,16.75,496.15,88
SESS000125,2025-01-17,App_15,Productivity,Android,Premium,Europe,104.16,385.49,66
SESS000126,2024-06-14,App_3,Productivity,Android,Premium,Asia,110.32,385.54,31
SESS000127,2024-01-01,App_11,Health & Fitness,iOS,Free,North America,108.61,349.6,53
SESS000128,2024-11-27,App_11,Entertainment,iOS,Free,Europe,43.17,264.01,1
SESS000129,2025-05-15,App_7,Social Media,Android,Free,Europe,48.88,21.3,88
SESS000130,2024-01-20,App_9,Health & Fitness,Android,Free,Africa,67.28,473.42,67
SESS000131,2024-04-24,App_8,Health & Fitness,iOS,Premium,North America,85.73,153.91,35
SESS000132,2025-01-06,App_1,Health & Fitness,Android,Free,North America,15.16,293.94,74
SESS000133,2024-11-10,App_6,Entertainment,iOS,Premium,Asia,107.79,450.19,94
SESS000134,2024-09-02,App_11,Social Media,Android,Free,Africa,107.9,271.62,100
SESS000135,2024-02-29,App_11,Entertainment,Android,Free,Asia,71.39,320.65,25
SESS000136,2024-09-03,App_7,Gaming,iOS,Premium,Asia,74.38,369.76,64
SESS000137,2024-03-21,App_13,Gaming,iOS,Free,North America,119.3,267.38,71
SESS000138,2024-03-28,App_9,Health & Fitness,iOS,Free,Africa,6.38,24.08,31
SESS000139,2025-05-12,App_6,Health & Fitness,Android,Free,Asia,88.91,151.82,8
SESS000140,2024-03-11,App_12,Health & Fitness,iOS,Premium,Europe,43.24,94.53,56
SESS000141,2024-05-08,App_7,Social Media,iOS,Premium,South America,54.42,482.11,28
SESS000142,2024-05-11,App_7,Social Media,iOS,Premium,Africa,49.66,26.69,79
SESS000143,2025-05-01,App_3,Health & Fitness,Android,Premium,Asia,54.52,412.78,86
SESS000144,2024-06-18,App_5,Social Media,Android,Premium,Asia,100.34,436.92,50
SESS000145,2024-09-28,App_7,Productivity,Android,Premium,North America,35.43,369.4,25
SESS000146,2025-03-09,App_3,Health & Fitness,Android,Premium,North America,57.78,262.23,68
SESS000147,2024-08-04,App_13,Productivity,iOS,Premium,Asia,17.02,89.56,38
SESS000148,2024-07-24,App_9,Entertainment,iOS,Free,Europe,22.83,185.73,45
SESS000149,2024-11-15,App_8,Productivity,Android,Free,Asia,92.15,349.74,18
SESS000150,2025-02-12,App_4,Entertainment,Android,Free,Europe,110.04,455.38,52
SESS000151,2025-01-17,App_14,Entertainment,Android,Free,Asia,112.46,49.78,76
SESS000152,2025-03-24,App_4,Health & Fitness,Android,Free,North America,10.97,475.01,53
SESS000153,2025-06-13,App_5,Health & Fitness,iOS,Free,Africa,107.58,446.23,75
SESS000154,2025-04-07,App_14,Entertainment,Android,Free,Africa,71.63,356.35,37
SESS000155,2024-05-03,App_12,Social Media,iOS,Free,North America,45.01,36.95,35
SESS000156,2024-09-10,App_3,Gaming,Android,Free,South America,78.28,102.2,32
SESS000157,2024-08-18,App_13,Productivity,Android,Free,Asia,46.15,103.77,79
SESS000158,2024-03-06,App_8,Entertainment,iOS,Premium,Africa,53.19,320.39,16
SESS000159,2024-12-12,App_15,Gaming,Android,Free,Africa,61.53,8.29,91
SESS000160,2024-01-22,App_1,Health & Fitness,iOS,Free,Europe,70.98,461.08,54
SESS000161,2024-08-23,App_9,Health & Fitness,iOS,Premium,South America,113.43,103.41,33
SESS000162,2024-08-13,App_7,Entertainment,Android,Free,Europe,12.53,344.85,83
SESS000163,2024-01-08,App_7,Social Media,Android,Free,Asia,36.38,462.19,78
SESS000164,2024-03-13,App_9,Entertainment,iOS,Premium,Asia,41.59,2.87,64
SESS000165,2024-03-01,App_9,Productivity,iOS,Premium,Europe,68.13,120.57,1
SESS000166,2024-08-22,App_3,Gaming,Android,Free,Africa,107.78,406.91,15
SESS000167,2024-03-10,App_7,Social Media,iOS,Premium,South America,70.0,415.74,52
SESS000168,2024-02-02,App_4,Entertainment,Android,Premium,Europe,101.44,492.21,76
SESS000169,2024-12-04,App_5,Productivity,iOS,Free,South America,51.78,493.55,25
SESS000170,2024-03-13,App_4,Productivity,iOS,Free,Europe,39.41,413.37,96
SESS000171,2025-06-10,App_6,Social Media,Android,Free,South America,38.91,186.21,33
SESS000172,2024-08-31,App_11,Productivity,Android,Free,Asia,22.23,418.97,89
SESS000173,2024-10-12,App_2,Productivity,Android,Premium,Europe,18.04,22.86,17
SESS000174,2025-05-12,App_15,Productivity,Android,Premium,South America,97.86,71.26,74
SESS000175,2024-08-07,App_8,Productivity,iOS,Premium,North America,88.42,123.46,24
SESS000176,2024-05-15,App_14,Entertainment,iOS,Free,South America,118.72,334.43,83
SESS000177,2025-04-29,App_6,Social Media,iOS,Premium,Europe,26.07,441.03,75
SESS000178,2024-09-05,App_2,Gaming,iOS,Free,South America,62.78,211.71,16
SESS000179,2025-04-29,App_9,Gaming,iOS,Free,Europe,69.44,285.48,86
SESS000180,2025-02-20,App_12,Productivity,Android,Premium,Europe,74.24,431.94,32
SESS000181,2024-07-13,App_14,Entertainment,iOS,Premium,Europe,12.84,313.28,17
SESS000182,2024-04-06,App_4,Productivity,Android,Free,Africa,34.89,102.84,92
SESS000183,2024-04-09,App_1,Productivity,iOS,Premium,South America,15.11,439.4,6
SESS000184,2025-03-17,App_5,Entertainment,iOS,Free,Europe,33.59,368.45,30
SESS000185,2024-12-28,App_7,Health & Fitness,Android,Free,Asia,53.23,136.67,32
SESS000186,2025-03-09,App_11,Social Media,iOS,Premium,North America,106.36,345.3,96
SESS000187,2025-02-24,App_10,Gaming,iOS,Premium,Asia,35.33,208.24,6
SESS000188,2025-04-23,App_10,Entertainment,iOS,Premium,Europe,110.21,207.11,94
SESS000189,2024-02-25,App_1,Gaming,Android,Premium,Europe,118.67,139.4,10
SESS000190,2024-04-10,App_14,Entertainment,iOS,Free,South America,90.66,450.59,88
SESS000191,2024-03-03,App_2,Entertainment,iOS,Premium,Africa,111.02,408.45,51
SESS000192,2025-02-16,App_4,Health & Fitness,Android,Premium,Europe,80.31,244.36,18
SESS000193,2024-12-13,App_13,Productivity,Android,Premium,North America,17.78,300.26,28
SESS000194,2024-04-21,App_13,Social Media,Android,Premium,Europe,25.61,313.46,36
SESS000195,2024-09-11,App_10,Health & Fitness,Android,Free,North America,100.82,198.04,15
SESS000196,2024-07-15,App_12,Gaming,Android,Free,South America,90.83,348.15,74
SESS000197,2024-07-13,App_11,Social Media,Android,Free,Europe,4.25,224.84,1
SESS000198,2025-04-04,App_9,Productivity,iOS,Premium,South America,108.4,331.65,84
SESS000199,2024-05-23,App_4,Health & Fitness,iOS,Premium,South America,115.22,111.88,27
SESS000200,2025-03-08,App_8,Entertainment,iOS,Free,North America,65.24,318.98,92
SESS000201,2024-07-06,App_4,Gaming,iOS,Premium,Africa,96.08,58.08,15
SESS000202,2024-10-12,App_14,Health & Fitness,iOS,Premium,Europe,1.79,451.16,90
SESS000203,2025-04-18,App_15,Health & Fitness,iOS,Premium,North America,100.07,244.52,2
SESS000204,2024-09-12,App_6,Social Media,Android,Free,Africa,4.07,92.09,53
SESS000205,2024-03-18,App_5,Gaming,iOS,Premium,North America,25.17,164.03,14
SESS000206,2025-03-29,App_15,Gaming,iOS,Premium,South America,113.07,471.78,44
SESS000207,2024-04-10,App_1,Gaming,iOS,Premium,South America,68.97,128.62,27
SESS000208,2024-02-21,App_4,Social Media,iOS,Premium,North America,88.12,340.61,58
SESS000209,2024-01-16,App_15,Gaming,Android,Free,North America,62.99,465.34,19
SESS000210,2024-04-05,App_4,Social Media,iOS,Free,North America,99.89,199.4,19
SESS000211,2024-08-30,App_12,Entertainment,Android,Premium,North America,36.1,268.36,93
SESS000212,2024-06-19,App_2,Social Media,iOS,Free,Europe,14.04,142.71,83
SESS000213,2025-02-20,App_12,Productivity,Android,Premium,Europe,85.05,285.27,16
SESS000214,2025-05-12,App_13,Gaming,Android,Premium,North America,101.52,54.69,48
SESS000215,2025-05-07,App_8,Productivity,iOS,Premium,Asia,53.88,60.14,42
SESS000216,2024-08-06,App_15,Productivity,Android,Free,Europe,52.44,411.53,53
SESS000217,2025-02-14,App_4,Entertainment,Android,Free,Africa,32.3,442.07,49
SESS000218,2024-03-01,App_12,Health & Fitness,Android,Premium,North America,103.88,475.13,85
SESS000219,2024-06-17,App_10,Entertainment,iOS,Premium,North America,119.18,277.6,67
SESS000220,2025-01-23,App_12,Social Media,iOS,Free,North America,88.06,249.23,88
SESS000221,2024-01-03,App_4,Social Media,iOS,Premium,Africa,14.86,63.99,36
SESS000222,2025-02-03,App_7,Gaming,iOS,Premium,Asia,43.09,497.78,57
SESS000223,2024-09-28,App_15,Productivity,iOS,Premium,North America,10.41,234.74,85
SESS000224,2025-04-10,App_4,Entertainment,Android,Premium,Europe,95.41,55.12,26
SESS000225,2024-10-19,App_9,Health & Fitness,iOS,Premium,Europe,87.56,114.71,82
SESS000226,2025-03-09,App_6,Entertainment,Android,Free,South America,39.93,416.63,19
SESS000227,2025-05-13,App_13,Gaming,Android,Free,Africa,61.34,92.65,27
SESS000228,2024-06-07,App_5,Entertainment,iOS,Premium,South America,33.86,381.39,50
SESS000229,2024-07-13,App_7,Health & Fitness,iOS,Free,Europe,76.04,403.3,46
SESS000230,2024-10-30,App_8,Health & Fitness,iOS,Premium,Asia,62.03,121.26,25
SESS000231,2024-08-10,App_9,Productivity,iOS,Free,Asia,93.47,307.85,86
SESS000232,2024-02-29,App_11,Productivity,iOS,Free,South America,85.11,219.34,85
SESS000233,2024-03-03,App_6,Gaming,Android,Free,Europe,38.46,71.81,32
SESS000234,2024-11-17,App_5,Productivity,Android,Free,Europe,111.04,298.7,63
SESS000235,2024-02-28,App_5,Social Media,Android,Premium,North America,52.57,21.01,63
SESS000236,2024-02-21,App_6,Productivity,Android,Free,Africa,111.95,466.84,36
SESS000237,2025-05-03,App_9,Social Media,iOS,Premium,Asia,95.51,383.51,56
SESS000238,2025-05-29,App_15,Entertainment,Android,Premium,Africa,38.79,94.89,7
SESS000239,2024-06-10,App_8,Social Media,Android,Premium,North America,101.13,105.61,33
SESS000240,2024-02-28,App_8,Gaming,iOS,Free,North America,79.67,159.3,1
SESS000241,2025-06-04,App_2,Health & Fitness,Android,Free,North America,105.43,284.62,56
SESS000242,2024-03-23,App_13,Gaming,Android,Free,North America,5.24,474.32,60
SESS000243,2024-07-09,App_12,Gaming,Android,Free,Africa,76.51,171.0,21
SESS000244,2024-03-11,App_8,Gaming,iOS,Premium,Asia,1.95,475.23,8
SESS000245,2024-03-10,App_13,Gaming,iOS,Premium,North America,17.29,460.96,8
SESS000246,2024-08-28,App_14,Productivity,Android,Premium,Africa,45.77,175.38,96
SESS000247,2025-02-17,App_6,Entertainment,Android,Free,South America,113.24,100.72,59
SESS000248,2024-05-02,App_15,Health & Fitness,iOS,Free,Europe,81.13,322.25,68
SESS000249,2024-09-09,App_4,Social Media,iOS,Free,North America,32.57,195.96,38
SESS000250,2024-02-10,App_6,Social Media,Android,Free,Europe,19.02,76.97,27
SESS000251,2024-03-24,App_6,Entertainment,iOS,Premium,North America,97.85,146.26,53
SESS000252,2025-03-05,App_7,Gaming,Android,Premium,Europe,88.29,32.29,15
SESS000253,2024-11-19,App_1,Gaming,iOS,Free,South America,34.63,92.39,37
SESS000254,2024-09-24,App_10,Health & Fitness,iOS,Free,South America,24.63,97.57,19
SESS000255,2024-07-28,App_14,Social Media,Android,Free,Europe,105.23,329.18,37
SESS000256,2024-11-17,App_4,Gaming,Android,Free,Asia,114.15,219.72,36
SESS000257,2024-09-01,App_12,Productivity,Android,Premium,Asia,103.0,435.73,23
SESS000258,2024-09-28,App_3,Health & Fitness,Android,Premium,Europe,90.18,35.16,55
SESS000259,2025-02-09,App_1,Productivity,Android,Premium,South America,1.38,123.27,99
SESS000260,2024-05-14,App_5,Productivity,Android,Premium,North America,9.0,264.51,2
SESS000261,2024-11-03,App_9,Entertainment,iOS,Free,South America,67.37,278.65,61
SESS000262,2025-04-13,App_15,Entertainment,Android,Premium,Europe,25.82,72.11,98
SESS000263,2024-11-19,App_10,Productivity,Android,Free,North America,22.2,482.11,68
SESS000264,2024-03-15,App_10,Entertainment,iOS,Free,Europe,50.76,28.83,9
SESS000265,2024-01-10,App_12,Productivity,iOS,Free,North America,32.31,342.54,76
SESS000266,2025-04-14,App_7,Gaming,Android,Premium,Asia,46.25,205.26,59
SESS000267,2024-04-12,App_5,Entertainment,Android,Premium,Asia,70.48,267.37,45
SESS000268,2024-03-16,App_3,Productivity,iOS,Free,North America,76.89,309.48,39
SESS000269,2024-08-06,App_4,Health & Fitness,iOS,Free,Africa,58.62,85.37,83
SESS000270,2025-06-02,App_6,Health & Fitness,iOS,Free,Asia,79.18,466.43,29
SESS000271,2024-09-28,App_4,Entertainment,iOS,Free,North America,22.43,185.5,58
SESS000272,2024-05-15,App_7,Health & Fitness,Android,Free,Asia,36.71,72.17,26
SESS000273,2024-12-23,App_10,Social Media,Android,Free,North America,28.6,52.34,89
SESS000274,2024-03-11,App_14,Social Media,Android,Free,North America,35.76,117.21,36
SESS000275,2024-09-07,App_4,Health & Fitness,Android,Free,Africa,58.72,190.92,62
SESS000276,2025-01-13,App_8,Productivity,iOS,Premium,Europe,95.81,281.57,50
SESS000277,2024-10-18,App_9,Health & Fitness,iOS,Free,Europe,47.67,406.95,35
SESS000278,2024-06-10,App_11,Health & Fitness,Android,Premium,South America,43.5,384.46,21
SESS000279,2025-03-24,App_11,Health & Fitness,iOS,Premium,Africa,58.23,60.26,62
SESS000280,2024-11-05,App_6,Productivity,Android,Premium,Asia,12.49,112.65,29
SESS000281,2024-01-09,App_5,Productivity,iOS,Free,Africa,14.37,314.33,57
SESS000282,2024-11-02,App_13,Social Media,Android,Free,Europe,105.83,282.04,18
SESS000283,2024-04-16,App_14,Entertainment,Android,Premium,South America,90.84,37.43,3
SESS000284,2024-05-17,App_8,Social Media,iOS,Premium,Europe,35.19,324.61,100
SESS000285,2024-09-27,App_12,Productivity,iOS,Free,Asia,116.35,455.45,31
SESS000286,2024-04-28,App_11,Productivity,iOS,Free,Africa,39.72,468.64,83
SESS000287,2024-04-19,App_12,Productivity,iOS,Free,Asia,79.83,322.57,63
SESS000288,2024-06-08,App_8,Productivity,Android,Premium,Asia,14.78,141.59,50
SESS000289,2024-10-05,App_8,Productivity,Android,Premium,North America,56.3,308.22,29
SESS000290,2024-10-15,App_3,Productivity,iOS,Free,Asia,38.95,225.11,71
SESS000291,2024-08-03,App_12,Gaming,Android,Free,South America,14.51,374.16,66
SESS000292,2024-12-17,App_13,Gaming,iOS,Premium,Asia,83.94,341.6,83
SESS000293,2024-07-27,App_6,Health & Fitness,Android,Premium,Asia,84.87,306.5,19
SESS000294,2024-09-27,App_3,Gaming,Android,Premium,North America,93.07,172.9,15
SESS000295,2025-06-01,App_3,Social Media,iOS,Free,North America,58.56,493.99,35
SESS000296,2025-05-15,App_12,Health & Fitness,iOS,Free,Europe,96.76,227.76,93
SESS000297,2024-09-14,App_9,Entertainment,Android,Premium,Europe,59.21,459.75,48
SESS000298,2024-02-22,App_8,Productivity,iOS,Premium,Asia,50.03,76.99,67
SESS000299,2024-04-04,App_3,Gaming,iOS,Premium,Europe,28.95,268.46,33
SESS000300,2025-03-09,App_15,Social Media,iOS,Premium,South America,35.62,180.39,89
SESS000301,2024-10-10,App_15,Entertainment,iOS,Free,South America,61.39,72.63,13
SESS000302,2024-02-15,App_9,Productivity,iOS,Free,South America,106.89,318.73,35
SESS000303,2024-01-04,App_11,Productivity,Android,Premium,North America,94.16,87.59,85
SESS000304,2024-12-07,App_1,Entertainment,Android,Free,North America,8.24,483.7,67
SESS000305,2024-05-13,App_9,Entertainment,Android,Free,Africa,92.84,499.57,40
SESS000306,2024-09-25,App_1,Entertainment,Android,Premium,South America,32.13,441.03,96
SESS000307,2024-06-14,App_14,Social Media,Android,Premium,Asia,38.8,184.36,52
SESS000308,2025-03-28,App_14,Health & Fitness,iOS,Premium,Europe,47.57,10.96,3
SESS000309,2025-03-13,App_2,Health & Fitness,iOS,Premium,North America,53.59,402.82,9
SESS000310,2024-01-10,App_14,Gaming,iOS,Premium,Asia,48.44,72.42,73
SESS000311,2024-04-24,App_11,Productivity,iOS,Free,Europe,109.57,230.24,14
SESS000312,2024-03-18,App_1,Gaming,iOS,Premium,Europe,32.93,355.49,31
SESS000313,2024-06-01,App_13,Health & Fitness,Android,Free,South America,87.65,270.98,37
SESS000314,2024-02-06,App_1,Entertainment,iOS,Free,Asia,41.44,113.88,33
SESS000315,2025-01-13,App_7,Productivity,Android,Free,Asia,98.4,201.41,32
SESS000316,2024-05-31,App_3,Health & Fitness,Android,Free,South America,37.71,420.15,97
SESS000317,2025-03-16,App_14,Productivity,Android,Premium,South America,49.77,176.79,86
SESS000318,2024-05-10,App_11,Gaming,iOS,Premium,South America,69.13,470.97,72
SESS000319,2024-02-12,App_4,Health & Fitness,Android,Premium,South America,20.82,210.86,79
